laptop-brand,laptop-model,laptop-screensize,laptop-ram,laptop-storage,laptop-cpu,laptop-operating_system,laptop-price,laptop-rating,laptop-review_count,laptop-graphics_card_description
HP,Victus Gaming Laptop,39.6 Centimetres,16 GB,512 GB,AMD Ryzen 5 5600X,Windows 11 Home,"58,800",4.1,217 ratings,Dedicated
Lenovo,82TS00PDLM,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"41,990",No rating,No review_count,Integrated
Dell,Latitude 3440,14 Inches,8 GB,512 GB,Core i3-1215U,DOS,"29,390",2.4,8 ratings,Integrated
Dell,Vostro,15.6 Inches,16 GB,512 GB,Core i3 Family,Windows 11 Home,"34,990",3.7,894 ratings,Integrated
MSI,CreatorPro M16 B13VJ,41 Centimetres,64 GB,No storage,Core i7,Windows 11 Pro,"2,65,990",No rating,No review_count,Dedicated
Primebook,Primebook S Wifi,11.6 Inches,4 GB,128 GB,MediaTek MT8183,PrimeOS,"14,066",4.2,237 ratings,Integrated
Lenovo,IdeaPad,14 Inches,16 GB,512 GB,Core i3,"Windows 11 Home 64, English","34,990",4.0,469 ratings,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Intel Core i3,Windows 11 Home,"33,990",3.8,90 ratings,Integrated
MSI,Prestige 14 AI Studio,34 Centimetres,32 GB,No storage,Core i7,Windows 11 Home,"1,29,990",No rating,No review_count,Dedicated
Dell,Dell Latitude,12.5 Inches,32 GB,No storage,Intel Core i5,Windows,No price,No rating,No review_count,Integrated
ASUS,Vivobook Go 15 (2023),15.6 Inches,24 GB,512 GB,Ryzen 5,Windows 11 Home,"40,990",4.0,131 ratings,Integrated
Lenovo,Legion Pro 5,16 Inches,32 GB,1 TB,Ryzen 9,Windows 11 Home,"2,01,190",No rating,No review_count,Dedicated
acer,Aspire 3,17.3 Inches,32 GB,1 TB,Core i7-1255U,Windows 11 Home,"55,990",No rating,No review_count,Integrated
Lenovo,Legion Pro 5,16 Inches,32 GB,1 TB,Intel Core i9,Windows 11 Home,No price,4.0,5 ratings,Dedicated
HP,HP Victus,39.6 Centimetres,16 GB,1 TB,Intel Core i7,Windows 11 Home,"94,990",3.2,12 ratings,Dedicated
ASUS,ASUS Vivobook Go 14,14 Inches,16 GB,No storage,Ryzen 5,Windows 11 Home,"41,990",No rating,No review_count,Integrated
ASUS,TUF Gaming,15.6 Inches,32 GB,512 GB,AMD Ryzen 7,Windows 11 Home,"87,990",4.0,440 ratings,Dedicated
